variant,event_id,op_id,core,source_core_id,pipe,start,end
control,task#91,91,1,0,SUBGRAPH,278900,279046
control,task#92,92,1,0,SUBGRAPH,279146,288079
control,task#95,95,1,0,SUBGRAPH,291076,291222
control,task#1,1,2,1,SUBGRAPH,0,10028
control,task#5,5,2,1,SUBGRAPH,12174,22204
control,task#9,9,2,1,SUBGRAPH,24350,34380
control,task#13,13,2,1,SUBGRAPH,36526,46556
control,task#17,17,2,1,SUBGRAPH,48702,58732
control,task#21,21,2,1,SUBGRAPH,60878,70908
control,task#25,25,2,1,SUBGRAPH,73054,83084
control,task#29,29,2,1,SUBGRAPH,85230,95260
control,task#33,33,2,1,SUBGRAPH,97406,107436
control,task#37,37,2,1,SUBGRAPH,109582,119612
control,task#41,41,2,1,SUBGRAPH,121758,131788
control,task#45,45,2,1,SUBGRAPH,133934,143964
control,task#49,49,2,1,SUBGRAPH,146110,156140
control,task#53,53,2,1,SUBGRAPH,158286,168316
control,task#57,57,2,1,SUBGRAPH,170462,180492
control,task#61,61,2,1,SUBGRAPH,182638,192668
control,task#65,65,2,1,SUBGRAPH,194814,204844
control,task#69,69,2,1,SUBGRAPH,206990,217020
control,task#73,73,2,1,SUBGRAPH,219166,229196
control,task#77,77,2,1,SUBGRAPH,231342,241372
control,task#81,81,2,1,SUBGRAPH,243518,253548
control,task#85,85,2,1,SUBGRAPH,255694,265724
control,task#89,89,2,1,SUBGRAPH,267870,277900
control,task#93,93,2,1,SUBGRAPH,280046,290076
control,task#2,2,3,2,SUBGRAPH,0,10028
control,task#6,6,3,2,SUBGRAPH,12174,22204
control,task#10,10,3,2,SUBGRAPH,24350,34380
control,task#14,14,3,2,SUBGRAPH,36526,46556
control,task#18,18,3,2,SUBGRAPH,48702,58732
control,task#22,22,3,2,SUBGRAPH,60878,70908
control,task#26,26,3,2,SUBGRAPH,73054,83084
control,task#30,30,3,2,SUBGRAPH,85230,95260
control,task#34,34,3,2,SUBGRAPH,97406,107436
control,task#38,38,3,2,SUBGRAPH,109582,119612
control,task#42,42,3,2,SUBGRAPH,121758,131788
control,task#46,46,3,2,SUBGRAPH,133934,143964
control,task#50,50,3,2,SUBGRAPH,146110,156140
control,task#54,54,3,2,SUBGRAPH,158286,168316
control,task#58,58,3,2,SUBGRAPH,170462,180492
control,task#62,62,3,2,SUBGRAPH,182638,192668
control,task#66,66,3,2,SUBGRAPH,194814,204844
control,task#70,70,3,2,SUBGRAPH,206990,217020
control,task#74,74,3,2,SUBGRAPH,219166,229196
control,task#78,78,3,2,SUBGRAPH,231342,241372
control,task#82,82,3,2,SUBGRAPH,243518,253548
control,task#86,86,3,2,SUBGRAPH,255694,265724
control,task#90,90,3,2,SUBGRAPH,267870,277900
control,task#94,94,3,2,SUBGRAPH,280046,290076
control,COPY_IN##1430,1430,1,0,PIPE_MTE2,0,1641
control,RELU##13,13,1,0,PIPE_V,1641,2165
control,COPY_IN##1431,1431,1,0,PIPE_MTE2,1641,3282
control,RELU##14,14,1,0,PIPE_V,2165,2689
control,RELU##15,15,1,0,PIPE_V,2689,3213
control,REDUCE##16,16,1,0,PIPE_V,3213,3737
control,COPY_IN##1432,1432,1,0,PIPE_MTE2,3282,4926
control,RELU##17,17,1,0,PIPE_V,3737,4261
control,COPY_OUT##1434,1434,1,0,PIPE_MTE3,3737,3743
control,RELU##18,18,1,0,PIPE_V,4261,4785
control,RELU##19,19,1,0,PIPE_V,4785,5309
control,COPY_IN##1433,1433,1,0,PIPE_MTE2,4926,6570
control,REDUCE##20,20,1,0,PIPE_V,5309,5833
control,RELU##21,21,1,0,PIPE_V,5833,6357
control,COPY_OUT##1435,1435,1,0,PIPE_MTE3,5833,5839
control,RELU##22,22,1,0,PIPE_V,6357,6881
control,RELU##23,23,1,0,PIPE_V,6881,7405
control,REDUCE##24,24,1,0,PIPE_V,7405,7929
control,RELU##25,25,1,0,PIPE_V,7929,8453
control,COPY_OUT##1436,1436,1,0,PIPE_MTE3,7929,7932
control,RELU##26,26,1,0,PIPE_V,8453,8977
control,RELU##27,27,1,0,PIPE_V,8977,9501
control,REDUCE##28,28,1,0,PIPE_V,9501,10025
control,COPY_OUT##1437,1437,1,0,PIPE_MTE3,10025,10028
control,COPY_IN##1454,1454,1,0,PIPE_MTE2,11028,11029
control,COPY_IN##1455,1455,1,0,PIPE_MTE2,11029,11030
control,ADD##61,61,1,0,PIPE_V,11030,11043
control,COPY_IN##1456,1456,1,0,PIPE_MTE2,11030,11031
control,COPY_IN##1457,1457,1,0,PIPE_MTE2,11031,11032
control,COPY_IN##1458,1458,1,0,PIPE_MTE2,11032,11033
control,COPY_IN##1459,1459,1,0,PIPE_MTE2,11033,11034
control,COPY_IN##1460,1460,1,0,PIPE_MTE2,11034,11035
control,COPY_IN##1461,1461,1,0,PIPE_MTE2,11035,11036
control,COPY_IN##1462,1462,1,0,PIPE_MTE2,11036,11037
control,COPY_IN##1463,1463,1,0,PIPE_MTE2,11037,11038
control,COPY_IN##1464,1464,1,0,PIPE_MTE2,11038,11039
control,COPY_IN##1465,1465,1,0,PIPE_MTE2,11039,11040
control,ADD##62,62,1,0,PIPE_V,11043,11056
control,ADD##67,67,1,0,PIPE_V,11056,11069
control,ADD##63,63,1,0,PIPE_V,11069,11082
control,ADD##64,64,1,0,PIPE_V,11082,11095
control,ADD##68,68,1,0,PIPE_V,11095,11108
control,ADD##70,70,1,0,PIPE_V,11108,11121
control,ADD##65,65,1,0,PIPE_V,11121,11134
control,ADD##66,66,1,0,PIPE_V,11134,11147
control,ADD##69,69,1,0,PIPE_V,11147,11160
control,ADD##71,71,1,0,PIPE_V,11160,11173
control,COPY_OUT##1466,1466,1,0,PIPE_MTE3,11173,11174
control,COPY_IN##1467,1467,1,0,PIPE_MTE2,11274,11821
control,COPY_IN##1471,1471,1,0,PIPE_MTE2,11821,11822
control,ADD##72,72,1,0,PIPE_V,11822,12346
control,COPY_IN##1468,1468,1,0,PIPE_MTE2,11822,12759
control,RELU##73,73,1,0,PIPE_V,12346,12870
control,COPY_IN##1469,1469,1,0,PIPE_MTE2,12759,14401
control,RELU##74,74,1,0,PIPE_V,12870,13394
control,REDUCE##75,75,1,0,PIPE_V,13394,13918
control,ADD##76,76,1,0,PIPE_V,13918,14442
control,COPY_OUT##1472,1472,1,0,PIPE_MTE3,13918,13922
control,COPY_IN##1470,1470,1,0,PIPE_MTE2,14401,16045
control,RELU##77,77,1,0,PIPE_V,14442,14966
control,RELU##78,78,1,0,PIPE_V,14966,15490
control,REDUCE##79,79,1,0,PIPE_V,15490,16014
control,ADD##80,80,1,0,PIPE_V,16014,16538
control,COPY_OUT##1473,1473,1,0,PIPE_MTE3,16014,16018
control,RELU##81,81,1,0,PIPE_V,16538,17062
control,RELU##82,82,1,0,PIPE_V,17062,17586
control,REDUCE##83,83,1,0,PIPE_V,17586,18110
control,ADD##84,84,1,0,PIPE_V,18110,18634
control,COPY_OUT##1474,1474,1,0,PIPE_MTE3,18110,18111
control,RELU##85,85,1,0,PIPE_V,18634,19158
control,RELU##86,86,1,0,PIPE_V,19158,19682
control,REDUCE##87,87,1,0,PIPE_V,19682,20206
control,COPY_OUT##1475,1475,1,0,PIPE_MTE3,20206,20207
control,COPY_IN##1494,1494,1,0,PIPE_MTE2,23204,23205
control,COPY_IN##1495,1495,1,0,PIPE_MTE2,23205,23206
control,ADD##120,120,1,0,PIPE_V,23206,23219
control,COPY_IN##1496,1496,1,0,PIPE_MTE2,23206,23207
control,COPY_IN##1497,1497,1,0,PIPE_MTE2,23207,23208
control,COPY_IN##1498,1498,1,0,PIPE_MTE2,23208,23209
control,COPY_IN##1499,1499,1,0,PIPE_MTE2,23209,23210
control,COPY_IN##1500,1500,1,0,PIPE_MTE2,23210,23211
control,COPY_IN##1501,1501,1,0,PIPE_MTE2,23211,23212
control,COPY_IN##1502,1502,1,0,PIPE_MTE2,23212,23213
control,COPY_IN##1503,1503,1,0,PIPE_MTE2,23213,23214
control,COPY_IN##1504,1504,1,0,PIPE_MTE2,23214,23215
control,COPY_IN##1505,1505,1,0,PIPE_MTE2,23215,23216
control,ADD##121,121,1,0,PIPE_V,23219,23232
control,ADD##126,126,1,0,PIPE_V,23232,23245
control,ADD##122,122,1,0,PIPE_V,23245,23258
control,ADD##123,123,1,0,PIPE_V,23258,23271
control,ADD##127,127,1,0,PIPE_V,23271,23284
control,ADD##129,129,1,0,PIPE_V,23284,23297
control,ADD##124,124,1,0,PIPE_V,23297,23310
control,ADD##125,125,1,0,PIPE_V,23310,23323
control,ADD##128,128,1,0,PIPE_V,23323,23336
control,ADD##130,130,1,0,PIPE_V,23336,23349
control,COPY_OUT##1506,1506,1,0,PIPE_MTE3,23349,23350
control,COPY_IN##1507,1507,1,0,PIPE_MTE2,23450,23997
control,COPY_IN##1511,1511,1,0,PIPE_MTE2,23997,23998
control,ADD##131,131,1,0,PIPE_V,23998,24522
control,COPY_IN##1508,1508,1,0,PIPE_MTE2,23998,24935
control,RELU##132,132,1,0,PIPE_V,24522,25046
control,COPY_IN##1509,1509,1,0,PIPE_MTE2,24935,26577
control,RELU##133,133,1,0,PIPE_V,25046,25570
control,REDUCE##134,134,1,0,PIPE_V,25570,26094
control,ADD##135,135,1,0,PIPE_V,26094,26618
control,COPY_OUT##1512,1512,1,0,PIPE_MTE3,26094,26098
control,COPY_IN##1510,1510,1,0,PIPE_MTE2,26577,28221
control,RELU##136,136,1,0,PIPE_V,26618,27142
control,RELU##137,137,1,0,PIPE_V,27142,27666
control,REDUCE##138,138,1,0,PIPE_V,27666,28190
control,ADD##139,139,1,0,PIPE_V,28190,28714
control,COPY_OUT##1513,1513,1,0,PIPE_MTE3,28190,28194
control,RELU##140,140,1,0,PIPE_V,28714,29238
control,RELU##141,141,1,0,PIPE_V,29238,29762
control,REDUCE##142,142,1,0,PIPE_V,29762,30286
control,ADD##143,143,1,0,PIPE_V,30286,30810
control,COPY_OUT##1514,1514,1,0,PIPE_MTE3,30286,30287
control,RELU##144,144,1,0,PIPE_V,30810,31334
control,RELU##145,145,1,0,PIPE_V,31334,31858
control,REDUCE##146,146,1,0,PIPE_V,31858,32382
control,COPY_OUT##1515,1515,1,0,PIPE_MTE3,32382,32383
control,COPY_IN##1534,1534,1,0,PIPE_MTE2,35380,35381
control,COPY_IN##1535,1535,1,0,PIPE_MTE2,35381,35382
control,ADD##179,179,1,0,PIPE_V,35382,35395
control,COPY_IN##1536,1536,1,0,PIPE_MTE2,35382,35383
control,COPY_IN##1537,1537,1,0,PIPE_MTE2,35383,35384
control,COPY_IN##1538,1538,1,0,PIPE_MTE2,35384,35385
control,COPY_IN##1539,1539,1,0,PIPE_MTE2,35385,35386
control,COPY_IN##1540,1540,1,0,PIPE_MTE2,35386,35387
control,COPY_IN##1541,1541,1,0,PIPE_MTE2,35387,35388
control,COPY_IN##1542,1542,1,0,PIPE_MTE2,35388,35389
control,COPY_IN##1543,1543,1,0,PIPE_MTE2,35389,35390
control,COPY_IN##1544,1544,1,0,PIPE_MTE2,35390,35391
control,COPY_IN##1545,1545,1,0,PIPE_MTE2,35391,35392
control,ADD##180,180,1,0,PIPE_V,35395,35408
control,ADD##185,185,1,0,PIPE_V,35408,35421
control,ADD##181,181,1,0,PIPE_V,35421,35434
control,ADD##182,182,1,0,PIPE_V,35434,35447
control,ADD##186,186,1,0,PIPE_V,35447,35460
control,ADD##188,188,1,0,PIPE_V,35460,35473
control,ADD##183,183,1,0,PIPE_V,35473,35486
control,ADD##184,184,1,0,PIPE_V,35486,35499
control,ADD##187,187,1,0,PIPE_V,35499,35512
control,ADD##189,189,1,0,PIPE_V,35512,35525
control,COPY_OUT##1546,1546,1,0,PIPE_MTE3,35525,35526
control,COPY_IN##1547,1547,1,0,PIPE_MTE2,35626,36173
control,COPY_IN##1551,1551,1,0,PIPE_MTE2,36173,36174
control,ADD##190,190,1,0,PIPE_V,36174,36698
control,COPY_IN##1548,1548,1,0,PIPE_MTE2,36174,37111
control,RELU##191,191,1,0,PIPE_V,36698,37222
control,COPY_IN##1549,1549,1,0,PIPE_MTE2,37111,38753
control,RELU##192,192,1,0,PIPE_V,37222,37746
control,REDUCE##193,193,1,0,PIPE_V,37746,38270
control,ADD##194,194,1,0,PIPE_V,38270,38794
control,COPY_OUT##1552,1552,1,0,PIPE_MTE3,38270,38274
control,COPY_IN##1550,1550,1,0,PIPE_MTE2,38753,40397
control,RELU##195,195,1,0,PIPE_V,38794,39318
control,RELU##196,196,1,0,PIPE_V,39318,39842
control,REDUCE##197,197,1,0,PIPE_V,39842,40366
control,ADD##198,198,1,0,PIPE_V,40366,40890
control,COPY_OUT##1553,1553,1,0,PIPE_MTE3,40366,40370
control,RELU##199,199,1,0,PIPE_V,40890,41414
control,RELU##200,200,1,0,PIPE_V,41414,41938
control,REDUCE##201,201,1,0,PIPE_V,41938,42462
control,ADD##202,202,1,0,PIPE_V,42462,42986
control,COPY_OUT##1554,1554,1,0,PIPE_MTE3,42462,42463
control,RELU##203,203,1,0,PIPE_V,42986,43510
control,RELU##204,204,1,0,PIPE_V,43510,44034
control,REDUCE##205,205,1,0,PIPE_V,44034,44558
control,COPY_OUT##1555,1555,1,0,PIPE_MTE3,44558,44559
control,COPY_IN##1574,1574,1,0,PIPE_MTE2,47556,47557
control,COPY_IN##1575,1575,1,0,PIPE_MTE2,47557,47558
control,ADD##238,238,1,0,PIPE_V,47558,47571
control,COPY_IN##1576,1576,1,0,PIPE_MTE2,47558,47559
control,COPY_IN##1577,1577,1,0,PIPE_MTE2,47559,47560
control,COPY_IN##1578,1578,1,0,PIPE_MTE2,47560,47561
control,COPY_IN##1579,1579,1,0,PIPE_MTE2,47561,47562
control,COPY_IN##1580,1580,1,0,PIPE_MTE2,47562,47563
control,COPY_IN##1581,1581,1,0,PIPE_MTE2,47563,47564
control,COPY_IN##1582,1582,1,0,PIPE_MTE2,47564,47565
control,COPY_IN##1583,1583,1,0,PIPE_MTE2,47565,47566
control,COPY_IN##1584,1584,1,0,PIPE_MTE2,47566,47567
control,COPY_IN##1585,1585,1,0,PIPE_MTE2,47567,47568
control,ADD##239,239,1,0,PIPE_V,47571,47584
control,ADD##244,244,1,0,PIPE_V,47584,47597
control,ADD##240,240,1,0,PIPE_V,47597,47610
control,ADD##241,241,1,0,PIPE_V,47610,47623
control,ADD##245,245,1,0,PIPE_V,47623,47636
control,ADD##247,247,1,0,PIPE_V,47636,47649
control,ADD##242,242,1,0,PIPE_V,47649,47662
control,ADD##243,243,1,0,PIPE_V,47662,47675
control,ADD##246,246,1,0,PIPE_V,47675,47688
control,ADD##248,248,1,0,PIPE_V,47688,47701
control,COPY_OUT##1586,1586,1,0,PIPE_MTE3,47701,47702
control,COPY_IN##1587,1587,1,0,PIPE_MTE2,47802,48349
control,COPY_IN##1591,1591,1,0,PIPE_MTE2,48349,48350
control,ADD##249,249,1,0,PIPE_V,48350,48874
control,COPY_IN##1588,1588,1,0,PIPE_MTE2,48350,49287
control,RELU##250,250,1,0,PIPE_V,48874,49398
control,COPY_IN##1589,1589,1,0,PIPE_MTE2,49287,50929
control,RELU##251,251,1,0,PIPE_V,49398,49922
control,REDUCE##252,252,1,0,PIPE_V,49922,50446
control,ADD##253,253,1,0,PIPE_V,50446,50970
control,COPY_OUT##1592,1592,1,0,PIPE_MTE3,50446,50450
control,COPY_IN##1590,1590,1,0,PIPE_MTE2,50929,52573
control,RELU##254,254,1,0,PIPE_V,50970,51494
control,RELU##255,255,1,0,PIPE_V,51494,52018
control,REDUCE##256,256,1,0,PIPE_V,52018,52542
control,ADD##257,257,1,0,PIPE_V,52542,53066
control,COPY_OUT##1593,1593,1,0,PIPE_MTE3,52542,52546
control,RELU##258,258,1,0,PIPE_V,53066,53590
control,RELU##259,259,1,0,PIPE_V,53590,54114
control,REDUCE##260,260,1,0,PIPE_V,54114,54638
control,ADD##261,261,1,0,PIPE_V,54638,55162
control,COPY_OUT##1594,1594,1,0,PIPE_MTE3,54638,54639
control,RELU##262,262,1,0,PIPE_V,55162,55686
control,RELU##263,263,1,0,PIPE_V,55686,56210
control,REDUCE##264,264,1,0,PIPE_V,56210,56734
control,COPY_OUT##1595,1595,1,0,PIPE_MTE3,56734,56735
control,COPY_IN##1614,1614,1,0,PIPE_MTE2,59732,59733
control,COPY_IN##1615,1615,1,0,PIPE_MTE2,59733,59734
control,ADD##297,297,1,0,PIPE_V,59734,59747
control,COPY_IN##1616,1616,1,0,PIPE_MTE2,59734,59735
control,COPY_IN##1617,1617,1,0,PIPE_MTE2,59735,59736
control,COPY_IN##1618,1618,1,0,PIPE_MTE2,59736,59737
control,COPY_IN##1619,1619,1,0,PIPE_MTE2,59737,59738
control,COPY_IN##1620,1620,1,0,PIPE_MTE2,59738,59739
control,COPY_IN##1621,1621,1,0,PIPE_MTE2,59739,59740
control,COPY_IN##1622,1622,1,0,PIPE_MTE2,59740,59741
control,COPY_IN##1623,1623,1,0,PIPE_MTE2,59741,59742
control,COPY_IN##1624,1624,1,0,PIPE_MTE2,59742,59743
control,COPY_IN##1625,1625,1,0,PIPE_MTE2,59743,59744
control,ADD##298,298,1,0,PIPE_V,59747,59760
control,ADD##303,303,1,0,PIPE_V,59760,59773
control,ADD##299,299,1,0,PIPE_V,59773,59786
control,ADD##300,300,1,0,PIPE_V,59786,59799
control,ADD##304,304,1,0,PIPE_V,59799,59812
control,ADD##306,306,1,0,PIPE_V,59812,59825
control,ADD##301,301,1,0,PIPE_V,59825,59838
control,ADD##302,302,1,0,PIPE_V,59838,59851
control,ADD##305,305,1,0,PIPE_V,59851,59864
control,ADD##307,307,1,0,PIPE_V,59864,59877
control,COPY_OUT##1626,1626,1,0,PIPE_MTE3,59877,59878
control,COPY_IN##1627,1627,1,0,PIPE_MTE2,59978,60525
control,COPY_IN##1631,1631,1,0,PIPE_MTE2,60525,60526
control,ADD##308,308,1,0,PIPE_V,60526,61050
control,COPY_IN##1628,1628,1,0,PIPE_MTE2,60526,61463
control,RELU##309,309,1,0,PIPE_V,61050,61574
control,COPY_IN##1629,1629,1,0,PIPE_MTE2,61463,63105
control,RELU##310,310,1,0,PIPE_V,61574,62098
control,REDUCE##311,311,1,0,PIPE_V,62098,62622
control,ADD##312,312,1,0,PIPE_V,62622,63146
control,COPY_OUT##1632,1632,1,0,PIPE_MTE3,62622,62626
control,COPY_IN##1630,1630,1,0,PIPE_MTE2,63105,64749
control,RELU##313,313,1,0,PIPE_V,63146,63670
control,RELU##314,314,1,0,PIPE_V,63670,64194
control,REDUCE##315,315,1,0,PIPE_V,64194,64718
control,ADD##316,316,1,0,PIPE_V,64718,65242
control,COPY_OUT##1633,1633,1,0,PIPE_MTE3,64718,64722
control,RELU##317,317,1,0,PIPE_V,65242,65766
control,RELU##318,318,1,0,PIPE_V,65766,66290
control,REDUCE##319,319,1,0,PIPE_V,66290,66814
control,ADD##320,320,1,0,PIPE_V,66814,67338
control,COPY_OUT##1634,1634,1,0,PIPE_MTE3,66814,66815
control,RELU##321,321,1,0,PIPE_V,67338,67862
control,RELU##322,322,1,0,PIPE_V,67862,68386
control,REDUCE##323,323,1,0,PIPE_V,68386,68910
control,COPY_OUT##1635,1635,1,0,PIPE_MTE3,68910,68911
control,COPY_IN##1654,1654,1,0,PIPE_MTE2,71908,71909
control,COPY_IN##1655,1655,1,0,PIPE_MTE2,71909,71910
control,ADD##356,356,1,0,PIPE_V,71910,71923
control,COPY_IN##1656,1656,1,0,PIPE_MTE2,71910,71911
control,COPY_IN##1657,1657,1,0,PIPE_MTE2,71911,71912
control,COPY_IN##1658,1658,1,0,PIPE_MTE2,71912,71913
control,COPY_IN##1659,1659,1,0,PIPE_MTE2,71913,71914
control,COPY_IN##1660,1660,1,0,PIPE_MTE2,71914,71915
control,COPY_IN##1661,1661,1,0,PIPE_MTE2,71915,71916
control,COPY_IN##1662,1662,1,0,PIPE_MTE2,71916,71917
control,COPY_IN##1663,1663,1,0,PIPE_MTE2,71917,71918
control,COPY_IN##1664,1664,1,0,PIPE_MTE2,71918,71919
control,COPY_IN##1665,1665,1,0,PIPE_MTE2,71919,71920
control,ADD##357,357,1,0,PIPE_V,71923,71936
control,ADD##362,362,1,0,PIPE_V,71936,71949
control,ADD##358,358,1,0,PIPE_V,71949,71962
control,ADD##359,359,1,0,PIPE_V,71962,71975
control,ADD##363,363,1,0,PIPE_V,71975,71988
control,ADD##365,365,1,0,PIPE_V,71988,72001
control,ADD##360,360,1,0,PIPE_V,72001,72014
control,ADD##361,361,1,0,PIPE_V,72014,72027
control,ADD##364,364,1,0,PIPE_V,72027,72040
control,ADD##366,366,1,0,PIPE_V,72040,72053
control,COPY_OUT##1666,1666,1,0,PIPE_MTE3,72053,72054
control,COPY_IN##1667,1667,1,0,PIPE_MTE2,72154,72701
control,COPY_IN##1671,1671,1,0,PIPE_MTE2,72701,72702
control,ADD##367,367,1,0,PIPE_V,72702,73226
control,COPY_IN##1668,1668,1,0,PIPE_MTE2,72702,73639
control,RELU##368,368,1,0,PIPE_V,73226,73750
control,COPY_IN##1669,1669,1,0,PIPE_MTE2,73639,75281
control,RELU##369,369,1,0,PIPE_V,73750,74274
control,REDUCE##370,370,1,0,PIPE_V,74274,74798
control,ADD##371,371,1,0,PIPE_V,74798,75322
control,COPY_OUT##1672,1672,1,0,PIPE_MTE3,74798,74802
control,COPY_IN##1670,1670,1,0,PIPE_MTE2,75281,76925
control,RELU##372,372,1,0,PIPE_V,75322,75846
control,RELU##373,373,1,0,PIPE_V,75846,76370
control,REDUCE##374,374,1,0,PIPE_V,76370,76894
control,ADD##375,375,1,0,PIPE_V,76894,77418
control,COPY_OUT##1673,1673,1,0,PIPE_MTE3,76894,76898
control,RELU##376,376,1,0,PIPE_V,77418,77942
control,RELU##377,377,1,0,PIPE_V,77942,78466
control,REDUCE##378,378,1,0,PIPE_V,78466,78990
control,ADD##379,379,1,0,PIPE_V,78990,79514
control,COPY_OUT##1674,1674,1,0,PIPE_MTE3,78990,78991
control,RELU##380,380,1,0,PIPE_V,79514,80038
control,RELU##381,381,1,0,PIPE_V,80038,80562
control,REDUCE##382,382,1,0,PIPE_V,80562,81086
control,COPY_OUT##1675,1675,1,0,PIPE_MTE3,81086,81087
control,COPY_IN##1694,1694,1,0,PIPE_MTE2,84084,84085
control,COPY_IN##1695,1695,1,0,PIPE_MTE2,84085,84086
control,ADD##415,415,1,0,PIPE_V,84086,84099
control,COPY_IN##1696,1696,1,0,PIPE_MTE2,84086,84087
control,COPY_IN##1697,1697,1,0,PIPE_MTE2,84087,84088
control,COPY_IN##1698,1698,1,0,PIPE_MTE2,84088,84089
control,COPY_IN##1699,1699,1,0,PIPE_MTE2,84089,84090
control,COPY_IN##1700,1700,1,0,PIPE_MTE2,84090,84091
control,COPY_IN##1701,1701,1,0,PIPE_MTE2,84091,84092
control,COPY_IN##1702,1702,1,0,PIPE_MTE2,84092,84093
control,COPY_IN##1703,1703,1,0,PIPE_MTE2,84093,84094
control,COPY_IN##1704,1704,1,0,PIPE_MTE2,84094,84095
control,COPY_IN##1705,1705,1,0,PIPE_MTE2,84095,84096
control,ADD##416,416,1,0,PIPE_V,84099,84112
control,ADD##421,421,1,0,PIPE_V,84112,84125
control,ADD##417,417,1,0,PIPE_V,84125,84138
control,ADD##418,418,1,0,PIPE_V,84138,84151
control,ADD##422,422,1,0,PIPE_V,84151,84164
control,ADD##424,424,1,0,PIPE_V,84164,84177
control,ADD##419,419,1,0,PIPE_V,84177,84190
control,ADD##420,420,1,0,PIPE_V,84190,84203
control,ADD##423,423,1,0,PIPE_V,84203,84216
control,ADD##425,425,1,0,PIPE_V,84216,84229
control,COPY_OUT##1706,1706,1,0,PIPE_MTE3,84229,84230
control,COPY_IN##1707,1707,1,0,PIPE_MTE2,84330,84877
control,COPY_IN##1711,1711,1,0,PIPE_MTE2,84877,84878
control,ADD##426,426,1,0,PIPE_V,84878,85402
control,COPY_IN##1708,1708,1,0,PIPE_MTE2,84878,85815
control,RELU##427,427,1,0,PIPE_V,85402,85926
control,COPY_IN##1709,1709,1,0,PIPE_MTE2,85815,87457
control,RELU##428,428,1,0,PIPE_V,85926,86450
control,REDUCE##429,429,1,0,PIPE_V,86450,86974
control,ADD##430,430,1,0,PIPE_V,86974,87498
control,COPY_OUT##1712,1712,1,0,PIPE_MTE3,86974,86978
control,COPY_IN##1710,1710,1,0,PIPE_MTE2,87457,89101
control,RELU##431,431,1,0,PIPE_V,87498,88022
control,RELU##432,432,1,0,PIPE_V,88022,88546
control,REDUCE##433,433,1,0,PIPE_V,88546,89070
control,ADD##434,434,1,0,PIPE_V,89070,89594
control,COPY_OUT##1713,1713,1,0,PIPE_MTE3,89070,89074
control,RELU##435,435,1,0,PIPE_V,89594,90118
control,RELU##436,436,1,0,PIPE_V,90118,90642
control,REDUCE##437,437,1,0,PIPE_V,90642,91166
control,ADD##438,438,1,0,PIPE_V,91166,91690
control,COPY_OUT##1714,1714,1,0,PIPE_MTE3,91166,91167
control,RELU##439,439,1,0,PIPE_V,91690,92214
control,RELU##440,440,1,0,PIPE_V,92214,92738
control,REDUCE##441,441,1,0,PIPE_V,92738,93262
control,COPY_OUT##1715,1715,1,0,PIPE_MTE3,93262,93263
control,COPY_IN##1734,1734,1,0,PIPE_MTE2,96260,96261
