case,cores,old_makespan,new_makespan,old_ddr,new_ddr,delta_cycles,delta_bytes,relative_ddr,category
082,5,237977,162408,8913592,6194392,-75569,-2719200,-0.305062,both_down
083,1,835336,835336,131072,131072,0,0,0.0,unchanged
083,2,419057,419057,930400,930400,0,0,0.0,unchanged
083,3,288419,286046,1860800,7067840,-2373,5207040,2.79828,mk_down_ddr_up
083,4,210367,210367,2791200,2791200,0,0,0.0,unchanged
083,5,184594,184594,3721600,3721600,0,0,0.0,unchanged
084,1,1266708,1266708,0,0,0,0,,unchanged
084,2,634124,634124,0,0,0,0,,unchanged
084,3,422652,422652,0,0,0,0,,unchanged
084,4,317988,317988,0,0,0,0,,unchanged
084,5,254640,254640,0,0,0,0,,unchanged
085,1,3143505,2612553,0,7980324,-530952,7980324,,mk_down_ddr_up
085,2,2043346,1321266,28677118,14399942,-722080,-14277176,-0.49786,both_down
085,3,1340806,926015,38496300,22717900,-414791,-15778400,-0.409868,both_down
085,4,1030113,724833,29732978,20772306,-305280,-8960672,-0.301371,both_down
085,5,1021521,663286,43921144,17977432,-358235,-25943712,-0.590688,both_down
086,1,112029,90912,0,234252,-21117,234252,,mk_down_ddr_up
086,2,89241,54402,2727174,1472710,-34839,-1254464,-0.459987,both_down
086,3,89994,43067,3670508,1453292,-46927,-2217216,-0.604062,both_down
086,4,99945,45190,4559664,1748114,-54755,-2811550,-0.616613,both_down
086,5,102180,41466,4888756,1720856,-60714,-3167900,-0.647997,both_down
087,1,4091707,3680317,5419008,15123844,-411390,9704836,1.790888,mk_down_ddr_up
087,2,2035072,1857937,4608000,14875604,-177135,10267604,2.228213,mk_down_ddr_up
087,3,1526362,1285627,5995008,16594820,-240735,10599812,1.768106,mk_down_ddr_up
087,4,1214996,1014377,5515776,23853764,-200619,18337988,3.324643,mk_down_ddr_up
087,5,898591,868451,6156288,27760512,-30140,21604224,3.509294,mk_down_ddr_up
088,1,229958,182359,0,330370,-47599,330370,,mk_down_ddr_up
088,2,197088,106593,0,1910474,-90495,1910474,,mk_down_ddr_up
088,3,198944,85510,73728,1661752,-113434,1588024,21.538954,mk_down_ddr_up
088,4,199448,92115,73728,1516790,-107333,1443062,19.572781,mk_down_ddr_up
088,5,200888,93547,147456,3182080,-107341,3034624,20.579861,mk_down_ddr_up
089,1,589412,589412,0,0,0,0,,unchanged
089,2,294992,294992,238720,238720,0,0,0.0,unchanged
089,3,206626,206626,477440,477440,0,0,0.0,unchanged
089,4,147992,147992,716160,716160,0,0,0.0,unchanged
089,5,119306,119306,954880,954880,0,0,0.0,unchanged
090,1,840883,840883,0,0,0,0,,unchanged
090,2,453010,431111,2148480,2682240,-21899,533760,0.248436,mk_down_ddr_up
090,3,330540,330540,4296960,4296960,0,0,0.0,unchanged
090,4,290754,290754,6445440,6445440,0,0,0.0,unchanged
090,5,260978,260978,8593920,8593920,0,0,0.0,unchanged
091,1,9402402,9013014,37236864,44049408,-389388,6812544,0.182952,mk_down_ddr_up
091,2,4598678,4508443,35435488,54756892,-90235,19321404,0.545256,mk_down_ddr_up
091,3,3051545,3051545,38589248,38589248,0,0,0.0,unchanged
091,4,2298823,2298823,40796832,40796832,0,0,0.0,unchanged
091,5,1851628,1851628,46414336,46414336,0,0,0.0,unchanged
092,1,4180541,3856866,32866304,10723328,-323675,-22142976,-0.673729,both_down
092,2,2053770,1926496,17199712,5927520,-127274,-11272192,-0.655371,both_down
092,3,1338578,1296643,10282176,26450112,-41935,16167936,1.572424,mk_down_ddr_up
092,4,997263,970497,6264608,14829344,-26766,8564736,1.367162,mk_down_ddr_up
092,5,791297,791297,3950976,3950976,0,0,0.0,unchanged
093,1,74205,74205,0,0,0,0,,unchanged
093,2,37827,37827,8192,8192,0,0,0.0,unchanged
093,3,25103,25103,16384,16384,0,0,0.0,unchanged
093,4,19743,19743,24576,24576,0,0,0.0,unchanged
093,5,15630,15630,32768,32768,0,0,0.0,unchanged
094,1,84458,71319,0,344064,-13139,344064,,mk_down_ddr_up
094,2,39562,38834,106272,591648,-728,485376,4.567299,mk_down_ddr_up
094,3,32353,27853,212544,676160,-4500,463616,2.181271,mk_down_ddr_up
094,4,24430,24174,318528,737376,-256,418848,1.314949,mk_down_ddr_up
094,5,20349,20349,425088,425088,0,0,0.0,unchanged
095,1,1070301,1070301,0,0,0,0,,unchanged
095,2,535614,535614,0,0,0,0,,unchanged
095,3,357591,357591,0,0,0,0,,unchanged
095,4,269686,269686,0,0,0,0,,unchanged
095,5,216624,216624,0,0,0,0,,unchanged
096,1,75620,54837,0,0,-20783,0,,mk_down_ddr_same
096,2,34329,28547,66240,398656,-5782,332416,5.018357,mk_down_ddr_up
096,3,29398,20442,67392,285408,-8956,218016,3.235043,mk_down_ddr_up
096,4,26984,16513,79488,278656,-10471,199168,2.505636,mk_down_ddr_up
096,5,27053,16806,134784,505364,-10247,370580,2.749436,mk_down_ddr_up
097,1,11491509,11491509,10584064,10584064,0,0,0.0,unchanged
097,2,5617602,5617602,11796480,11796480,0,0,0.0,unchanged
097,3,3660459,3660459,16031744,16031744,0,0,0.0,unchanged
097,4,2626908,2626908,14221312,14221312,0,0,0.0,unchanged
097,5,2102348,2102348,21311488,21311488,0,0,0.0,unchanged
098,1,163731,163064,0,409660,-667,409660,,mk_down_ddr_up
098,2,98115,82752,0,1018810,-15363,1018810,,mk_down_ddr_up
098,3,90030,57389,0,916690,-32641,916690,,mk_down_ddr_up
098,4,90237,45949,0,1017834,-44288,1017834,,mk_down_ddr_up
098,5,90511,38611,0,836386,-51900,836386,,mk_down_ddr_up
099,1,1599756,1597968,2383872,6043648,-1788,3659776,1.535223,mk_down_ddr_up
099,2,801851,801077,2879488,4488196,-774,1608708,0.558678,mk_down_ddr_up
099,3,534590,534590,4595712,4595712,0,0,0.0,unchanged
099,4,402826,402826,6074368,6074368,0,0,0.0,unchanged
099,5,325402,325402,7479296,7479296,0,0,0.0,unchanged
100,1,106726,104261,0,308232,-2465,308232,,mk_down_ddr_up
100,2,64074,56185,67584,796544,-7889,728960,10.785985,mk_down_ddr_up
100,3,58044,41384,72192,1007410,-16660,935218,12.954593,mk_down_ddr_up
100,4,59709,36342,144384,1267338,-23367,1122954,7.777552,mk_down_ddr_up
100,5,61671,39567,211968,1470616,-22104,1258648,5.937915,mk_down_ddr_up
